playerId,season,Name,team,position,situation,games_played,icetime,shifts,ppTimeOnIce,pkTimeOnIce,powerPlayIcetime,shortHandedIcetime,pp_toi,pk_toi,I_F_goals,I_F_primaryAssists,I_F_secondaryAssists,I_F_points,I_F_shotsOnGoal,I_F_xGoals,I_F_hits,I_F_takeaways,I_F_giveaways,onIce_xGoalsPercentage,onIce_corsiPercentage,onIce_fenwickPercentage,gameScore,icetime_minutes,gs_per_game,gs_per60,mp_value,I_F_goals_per60,I_F_primaryAssists_per60,I_F_secondaryAssists_per60,I_F_points_per60,I_F_shotsOnGoal_per60,I_F_xGoals_per60,I_F_hits_per60,I_F_takeaways_per60,I_F_giveaways_per60,Name_norm,CapHit,Pos,Length,Start Year
8478864,2024,Kirill Kaprizov,MIN,L,,41,55269,846,0,0,0,0,0,0,25,22,9,56,145,20.38,16,12,59,0.62,0.59,0.59,57.65,921.15,1.4060975609756097,0.0625848124626825,0.0625848124626825,0.0271399880584052,0.0238831894913966,0.0097703957010258,0.0607935732508277,0.1574119307387504,0.0221245182652119,0.0173695923573793,0.0130271942680345,0.0640503718178364,KIRILL KAPRIZOV,9000000.0,L,5.0,2021-22
8481563,2024,Drew Helleson,ANA,D,,56,54940,1166,0,0,0,0,0,0,4,6,3,13,63,2.37,99,17,47,0.38,0.41,0.4,5.12,915.6666666666666,0.0914285714285714,0.0055915544230069,0.0055915544230069,0.0043684018929741,0.0065526028394612,0.0032763014197306,0.014197306152166,0.0688023298143429,0.0025882781215871,0.1081179468511103,0.0185657080451401,0.0513287222424463,DREW HELLESON,925000.0,D,3.0,2022-23
8476461,2024,Sean Couturier,PHI,C,,79,81972,1654,0,0,0,0,0,0,15,19,11,45,155,20.57,54,28,78,0.55,0.52,0.53,44.22,1366.2,0.5597468354430379,0.0323671497584541,0.0323671497584541,0.0109793588054457,0.0139071878202312,0.0080515297906602,0.0329380764163372,0.1134533743229395,0.0150563607085346,0.0395256916996047,0.0204948031034987,0.0570926657883179,SEAN COUTURIER,7750000.0,C,8.0,2022-23
8471685,2024,Anze Kopitar,LAK,C,,81,92125,1769,0,0,0,0,0,0,21,29,17,67,98,15.44,31,30,65,0.55,0.55,0.54,65.61,1535.4166666666667,0.8099999999999999,0.0427310719131614,0.0427310719131614,0.0136770691994572,0.0188873812754409,0.0110719131614654,0.0436363636363636,0.0638263229308005,0.0100559023066485,0.0201899592944369,0.0195386702849389,0.0423337856173677,ANZE KOPITAR,7000000.0,C,2.0,2024-25
8482142,2024,Jamie Drysdale,PHI,D,,70,83651,1763,0,0,0,0,0,0,7,5,8,20,63,3.58,18,20,73,0.53,0.51,0.52,11.23,1394.1833333333334,0.1604285714285714,0.0080548947412463,0.0080548947412463,0.0050208604798508,0.0035863289141791,0.0057381262626866,0.0143453156567165,0.0451877443186572,0.0025678115025522,0.0129107840910449,0.0143453156567165,0.0523604021470155,JAMIE DRYSDALE,2300000.0,D,3.0,2023-24
8476906,2024,Shayne Gostisbehere,CAR,D,,70,77788,1422,0,0,0,0,0,0,7,12,26,45,122,9.39,41,36,76,0.65,0.68,0.67,63.2,1296.4666666666667,0.9028571428571428,0.0487478788502082,0.0487478788502082,0.0053992903789787,0.0092559263639635,0.0200545071219211,0.0347097238648634,0.0941019180336298,0.0072427623798015,0.0316244150768756,0.0277677790918907,0.0586208669717694,SHAYNE GOSTISBEHERE,3200000.0,D,3.0,2024-25
8483495,2024,Simon Nemec,NJD,D,,27,24269,516,0,0,0,0,0,0,2,0,2,4,26,1.25,2,5,24,0.42,0.46,0.44,-0.15,404.48333333333335,-0.0055555555555555,-0.0003708434628538,-0.0003708434628538,0.0049445795047179,0.0,0.0049445795047179,0.0098891590094359,0.0642795335613333,0.0030903621904487,0.0049445795047179,0.0123614487617948,0.0593349540566154,SIMON NEMEC,918333.0,D,3.0,2023-24
8483482,2024,Tristan Luneau,ANA,D,,6,5960,116,0,0,0,0,0,0,0,0,0,0,6,0.21,5,1,6,0.34,0.38,0.37,-2.25,99.33333333333331,-0.375,-0.0226510067114093,-0.0226510067114093,0.0,0.0,0.0,0.0,0.0604026845637583,0.0021140939597315,0.0503355704697986,0.0100671140939597,0.0604026845637583,TRISTAN LUNEAU,865000.0,D,3.0,2024-25
8476391,2024,T.J. Tynan,COL,C,,9,4243,111,0,0,0,0,0,0,0,0,1,1,5,0.29,5,0,5,0.51,0.62,0.61,1.76,70.71666666666667,0.1955555555555555,0.0248880509073768,0.0248880509073768,0.0,0.0,0.014140938015555,0.014140938015555,0.0707046900777751,0.0041008720245109,0.0707046900777751,0.0,0.0707046900777751,T J TYNAN,,,,
8481605,2024,Jackson LaCombe,ANA,D,,75,100353,1961,0,0,0,0,0,0,14,18,11,43,134,10.27,69,35,78,0.48,0.49,0.5,43.54,1672.55,0.5805333333333333,0.0260321066634779,0.0260321066634779,0.0083704523033691,0.0107620101043317,0.0065767839526471,0.0257092463603479,0.0801171863322471,0.0061403246539714,0.0412543720666048,0.0209261307584227,0.0466353771187707,JACKSON LACOMBE,925000.0,D,2.0,2024-25
8481601,2024,Simon Holmstrom,NYI,R,,75,75892,1622,0,0,0,0,0,0,20,17,8,45,96,14.72,27,13,48,0.45,0.48,0.5,42.42,1264.8666666666666,0.5656,0.0335371317134875,0.0335371317134875,0.01581194328783,0.0134401517946555,0.006324777315132,0.0355768723976176,0.0758973277815843,0.0116375902598429,0.0213461234385706,0.0102777631370895,0.0379486638907921,SIMON HOLMSTROM,850000.0,R,1.0,2024-25
8482691,2024,Aatu Raty,VAN,C,,33,21101,544,0,0,0,0,0,0,7,2,2,11,34,3.7,80,2,8,0.47,0.52,0.49,11.34,351.68333333333334,0.3436363636363636,0.0322449173024975,0.0322449173024975,0.0199042699398132,0.005686934268518,0.005686934268518,0.0312781384768494,0.0966778825648073,0.0105208283967584,0.2274773707407232,0.005686934268518,0.0227477370740723,AATU RATY,,,,
8482169,2024,Helge Grans,PHI,D,,6,5205,128,0,0,0,0,0,0,0,0,1,1,5,0.33,4,2,8,0.52,0.43,0.46,0.03,86.75,0.005,0.0003458213256484,0.0003458213256484,0.0,0.0,0.0115273775216138,0.0115273775216138,0.0576368876080691,0.0038040345821325,0.0461095100864553,0.0230547550432276,0.0922190201729106,HELGE GRANS,,,,
