Name,Pos,GP,Cap Hit,Length,Start Year
Jalen Chatfield,D,79.0,3000000.0,3.0,2024-25
Timothy Liljegren,D,68.0,3000000.0,2.0,2024-25
Eetu Luostarinen,C,80.0,3000000.0,3.0,2024-25
Pierre Engvall,L,62.0,3000000.0,7.0,2023-24
Mathieu Joseph,R,60.0,2950000.0,4.0,2022-23
Jordan Staal,C,75.0,2900000.0,4.0,2023-24
Alex Newhook,C,82.0,2900000.0,4.0,2023-24
Colton Sissons,C,72.0,2857143.0,7.0,2019-20
Brayden McNabb,D,82.0,2850000.0,3.0,2022-23
Jack Roslovic,C,81.0,2800000.0,1.0,2024-25
Luke Schenn,D,76.0,2750000.0,3.0,2023-24
Stefan Noesen,R,78.0,2750000.0,3.0,2024-25
Brock McGinn,L,26.0,2750000.0,4.0,2021-22
Matt Grzelcyk,D,82.0,2750000.0,1.0,2024-25
Brett Kulak,D,82.0,2750000.0,4.0,2022-23
Luke Kunin,C,75.0,2750000.0,1.0,2024-25
Andrew Peeke,D,76.0,2750000.0,3.0,2023-24
Jan Rutta,D,54.0,2750000.0,3.0,2022-23
Zach Whitecloud,D,74.0,2750000.0,6.0,2022-23
Nick Seeler,D,77.0,2700000.0,4.0,2024-25
William Borgen,D,84.0,2700000.0,2.0,2023-24
Martin Fehervary,D,81.0,2675000.0,3.0,2023-24
Tanner Jeannot,L,67.0,2665000.0,2.0,2023-24
Barrett Hayton,C,82.0,2650000.0,2.0,2024-25
Noah Cates,L,78.0,2625000.0,2.0,2023-24
Michael Amadio,C,72.0,2600000.0,3.0,2024-25
Casey Cizikas,C,82.0,2500000.0,6.0,2021-22
Sean Kuraly,C,82.0,2500000.0,4.0,2021-22
Jonathan Drouin,L,43.0,2500000.0,1.0,2024-25
Miles Wood,L,37.0,2500000.0,6.0,2023-24
Tucker Poolman,D,0.0,2500000.0,4.0,2021-22
Niko Mikkola,D,76.0,2500000.0,3.0,2023-24
Dante Fabbro,D,68.0,2500000.0,1.0,2024-25
Cody Glass,C,65.0,2500000.0,2.0,2023-24
Alexander Romanov,D,64.0,2500000.0,3.0,2022-23
Lars Eller,C,80.0,2450000.0,2.0,2023-24
Jacob Middleton,D,67.0,2450000.0,3.0,2022-23
Jesper Fast,R,0.0,2400000.0,2.0,2023-24
David Kampf,C,59.0,2400000.0,4.0,2023-24
Kaapo Kakko,R,79.0,2400000.0,1.0,2024-25
Garnet Hathaway,R,67.0,2375000.0,2.0,2023-24
Alexis Lafreniere,R,82.0,2325000.0,2.0,2023-24
Jamie Drysdale,D,70.0,2300000.0,3.0,2023-24
Trent Frederic,C,58.0,2300000.0,2.0,2023-24
Nicolas Hague,D,68.0,2294150.0,3.0,2022-23
Dylan Holloway,C,77.0,2290457.0,2.0,2024-25
Philipp Kurashev,C,51.0,2250000.0,2.0,2023-24
Cole Sillinger,C,66.0,2250000.0,2.0,2024-25
Evgenii Dadonov,R,80.0,2250000.0,2.0,2023-24
Danton Heinen,L,79.0,2250000.0,2.0,2024-25
Braden Schneider,D,80.0,2200000.0,2.0,2024-25
Mason Appleton,C,71.0,2166667.0,3.0,2022-23
Nick Bjugstad,C,66.0,2100000.0,2.0,2023-24
Calle Jarnkrok,C,19.0,2100000.0,4.0,2022-23
Frederick Gaudreau,C,82.0,2100000.0,5.0,2023-24
Morgan Frost,C,81.0,2100000.0,2.0,2023-24
Alexandre Texier,C,31.0,2100000.0,2.0,2024-25
Ryan McLeod,C,79.0,2100000.0,2.0,2023-24
Connor McMichael,C,82.0,2100000.0,2.0,2024-25
Yegor Chinakhov,C,30.0,2100000.0,2.0,2024-25
Klim Kostin,R,35.0,2000000.0,2.0,2023-24
Morgan Geekie,C,77.0,2000000.0,2.0,2023-24
Nico Sturm,C,62.0,2000000.0,3.0,2022-23
Marcus Johansson,C,72.0,2000000.0,2.0,2023-24
Vladislav Namestnikov,C,78.0,2000000.0,2.0,2023-24
Erik Gustafsson,D,60.0,2000000.0,2.0,2024-25
William Carrier,L,43.0,2000000.0,6.0,2024-25
Ryan Donato,C,80.0,2000000.0,2.0,2023-24
Sam Lafferty,C,60.0,2000000.0,2.0,2024-25
Jeremy Lauzon,D,28.0,2000000.0,4.0,2022-23
Kevin Stenlund,C,82.0,2000000.0,2.0,2024-25
Noel Acciari,C,79.0,2000000.0,3.0,2023-24
Ryan Lomberg,L,80.0,2000000.0,2.0,2024-25
Vincent Desharnais,D,51.0,2000000.0,2.0,2024-25
Juuso Valimaki,D,43.0,2000000.0,2.0,2024-25
Sonny Milano,L,3.0,1900000.0,3.0,2023-24
Brett Howden,C,80.0,1900000.0,2.0,2023-24
Ryan Poehling,C,68.0,1900000.0,2.0,2024-25
Blake Lizotte,C,59.0,1850000.0,2.0,2024-25
Brandon Duhaime,R,82.0,1850000.0,2.0,2024-25
Pavel Dorofeyev,L,82.0,1835000.0,2.0,2024-25
Kent Johnson,L,68.0,1800000.0,3.0,2024-25
Tomas Tatar,L,74.0,1800000.0,1.0,2024-25
Teddy Blueger,C,82.0,1800000.0,2.0,2024-25
Carl Grundstrom,L,56.0,1800000.0,2.0,2024-25
John Klingberg,D,11.0,1755056.0,1.0,2024-25
Nicolas Deslauriers,L,31.0,1750000.0,4.0,2022-23
Jake Bean,D,64.0,1750000.0,2.0,2024-25
Jack Drury,C,72.0,1725000.0,2.0,2024-25
Yegor Zamula,D,63.0,1700000.0,2.0,2024-25
Jake Evans,C,82.0,1700000.0,3.0,2022-23
Pius Suter,C,81.0,1600000.0,2.0,2023-24
Cameron York,D,66.0,1600000.0,2.0,2023-24
Jack McBain,C,82.0,1599999.0,2.0,2023-24
Isac Lundestrom,C,79.0,1500000.0,1.0,2024-25
Kiefer Sherwood,C,78.0,1500000.0,2.0,2024-25
Bobby Brink,R,79.0,1500000.0,2.0,2024-25
Jordan Spence,D,79.0,1500000.0,2.0,2024-25
Derek Forbort,D,54.0,1500000.0,1.0,2024-25
Brandon Saad,L,72.0,1500000.0,1.0,2024-25
Colin Miller,D,60.0,1500000.0,2.0,2024-25
Oskar Sundqvist,C,67.0,1500000.0,2.0,2024-25
Nicolas Aube-Kubel,R,22.0,1500000.0,1.0,2024-25
Jani Hakanpaa,D,2.0,1470000.0,1.0,2024-25
Mattias Janmark,C,80.0,1450000.0,3.0,2024-25
Fabian Zetterlund,L,84.0,1450000.0,2.0,2023-24
Peyton Krebs,C,81.0,1450000.0,2.0,2024-25
Dylan Samberg,D,60.0,1400000.0,2.0,2023-24
Jordan Harris,D,33.0,1400000.0,2.0,2023-24
Michael Kesselring,D,82.0,1400000.0,2.0,2024-25
Keegan Kolesar,R,82.0,1400000.0,3.0,2022-23
Ryan Reaves,R,35.0,1350000.0,3.0,2023-24
Nathan Bastian,R,59.0,1350000.0,2.0,2023-24
Beck Malenstyn,L,76.0,1350000.0,2.0,2024-25
Morgan Barron,C,74.0,1350000.0,2.0,2023-24
Simon Benoit,D,78.0,1350000.0,3.0,2024-25
Bobby McMann,C,74.0,1350000.0,2.0,2024-25
Ty Dellandrea,C,68.0,1300000.0,2.0,2024-25
